Betreuungsbezirk Nr,Betreuungsbezirk,Einrichtungsnummer,Einrichtungsname,Einrichtungsadresse,PLZ,Telefon,Anzahl Plätze,Einrichtungsart,Trägernummer,Trägername,Trägerart,Anschrift,Latitude,Longitude
7,Tempelhof-Schöneberg,7111370,Europa-Kindergarten Max und Moritz,Kärntener Str. 027,10827,7818820,88.0,Kindertagesstätte,7497,Europa-Kindergarten Max und Moritz gGmbH,Sonstiger freier Träger,"Kärntener Str. 027, 10827, Berlin",52.4806553,13.3471165
7,Tempelhof-Schöneberg,7111380,Kita Riemenschneiderweg,Riemenschneiderweg 012,12157,79 40 49 94,134.0,Kindertagesstätte,1249,Nachbarschaftsheim Schöneberg e.V.,Sonstiger freier Träger,"Riemenschneiderweg 012, 12157, Berlin",52.4702585,13.349096
7,Tempelhof-Schöneberg,7111420,Kick Kinder- und Schülerladen,Monumentenstr. 003,10829,782 05 58,30.0,Kindertagesstätte,1264,Stadtteilverein Schöneberg e.V.,Sonstiger freier Träger,"Monumentenstr. 003, 10829, Berlin",52.4882728,13.3641077
7,Tempelhof-Schöneberg,7111440,Kita Wilde 13,Fritz-Reuter-Str. 008,10827,782 24 43,36.0,Eltern-Initiativ-Kindertagesstätte,564,TÄKS e. V.,Sonstiger freier Träger,"Fritz-Reuter-Str. 008, 10827, Berlin",52.4810098,13.3498028
7,Tempelhof-Schöneberg,7111450,Kita Rosas Turm,Gustav-Müller-Platz 004,10829,7895597/32528521,56.0,Eltern-Initiativ-Kindertagesstätte,564,TÄKS e. V.,Sonstiger freier Träger,"Gustav-Müller-Platz 004, 10829, Berlin",52.4835633,13.3633948
7,Tempelhof-Schöneberg,7111460,EKT - Amsel,Ebersstr. 040,10827,03078710656,20.0,Eltern-Initiativ-Kindertagesstätte,514,"Arbeiten mit Schülern, Eltern + Lehrern A.M.S.E.L. e.V.",EKT,"Ebersstr. 040, 10827, Berlin",52.4843011,13.3579231
7,Tempelhof-Schöneberg,7111490,EKT - Rappelschlößchen,Schwalbacher Str. 010,12161,822 00 79,21.0,Eltern-Initiativ-Kindertagesstätte,918,Rappelschlößchen e.V.,EKT,"Schwalbacher Str. 010, 12161, Berlin",52.4701919,13.3213651
7,Tempelhof-Schöneberg,7111530,EKT Affentheater,Merseburger Str. 005,10823,030784 45 22,17.0,Eltern-Initiativ-Kindertagesstätte,518,Affentheater e.V.,EKT,"Merseburger Str. 005, 10823, Berlin",52.4875654,13.3524428
7,Tempelhof-Schöneberg,7111550,Kita Inselläden-Inselkinder,Gotenstr. 018,10829,7874480,56.0,Eltern-Initiativ-Kindertagesstätte,564,TÄKS e. V.,Sonstiger freier Träger,"Gotenstr. 018, 10829, Berlin",52.4761947,13.3601148
7,Tempelhof-Schöneberg,7111600,BOOT-Kita Augsburg,Augsburger Str. 012,10789,84857000,165.0,Kindertagesstätte,1277,Gemeinnützige BOOT GmbH,Sonstiger freier Träger,"Augsburger Str. 012, 10789, Berlin",52.5000848,13.3390179
7,Tempelhof-Schöneberg,7111610,EKT L' Angolino,Ansbacher Str. 041,10777,2141751,30.0,Eltern-Initiativ-Kindertagesstätte,973,Eltern-Initiativ-Kindertagesstätte L'angolino e.V.,EKT,"Ansbacher Str. 041, 10777, Berlin",52.4959079,13.3390412
7,Tempelhof-Schöneberg,7111640,Kita Villa Anna,Schmargendorfer Str. 022,12159,8514406,64.0,Eltern-Initiativ-Kindertagesstätte,961,Schöneberger Vorschulerziehung e. V.,EKT,"Schmargendorfer Str. 022, 12159, Berlin",52.4715406,13.329566
7,Tempelhof-Schöneberg,7111650,Kita Motzstr. 33/Kitas Süd-West,Motzstr. 033,10777,290278000,170.0,Kindertagesstätte,123,Kindertagesstätten Berlin Süd-West,Eigenbetrieb,"Motzstr. 033, 10777, Berlin",52.4972634,13.3463991
7,Tempelhof-Schöneberg,7111660,Wunderkids Schöneberg,Frankenstr. 012,10781,23633006,55.0,Kindertagesstätte,8410,W und W Wunderkids gGmbH,Sonstiger freier Träger,"Frankenstr. 012, 10781, Berlin",52.4934161,13.3519137
7,Tempelhof-Schöneberg,7111680,Kita Wielandstraße,Wielandstr. 023,12159,859 45 80,28.0,Kindertagesstätte,1249,Nachbarschaftsheim Schöneberg e.V.,Sonstiger freier Träger,"Wielandstr. 023, 12159, Berlin",52.4737338,13.3391788
7,Tempelhof-Schöneberg,7111700,Waldorfkindergarten Elfenreigen,Lauterstr. 026,12159,851 46 03,38.0,Kindertagesstätte,1360,Waldorfkindergarten Elfenreigen e.V.,Sonstiger freier Träger,"Lauterstr. 026, 12159, Berlin",52.4732664,13.335297
7,Tempelhof-Schöneberg,7111770,EKT Onnimanni,Kärntener Str. 011,10827,7828533,25.0,Eltern-Initiativ-Kindertagesstätte,884,Eltern-Initiativ-Kindertagesstätte: Onnimanni e. V.,EKT,"Kärntener Str. 011, 10827, Berlin",52.4806553,13.3471165
7,Tempelhof-Schöneberg,7111780,Kita Pallasseum,Pallasstr. 003,10781,216 87 29,30.0,Kindertagesstätte,1264,Stadtteilverein Schöneberg e.V.,Sonstiger freier Träger,"Pallasstr. 003, 10781, Berlin",52.4944301,13.3582507
7,Tempelhof-Schöneberg,7111790,Kita MITRA,Kurfürstenstr. 135,10785,36448560,90.0,Kindertagesstätte,8368,MITRA bilinguale Kindergärten gemeinnützige GmbH,Sonstiger freier Träger,"Kurfürstenstr. 135, 10785, Berlin",52.5013114,13.3562252
7,Tempelhof-Schöneberg,7111830,Kita Weltbestauner,Hohenfriedbergstr. 018,10829,782 89 85,46.0,Eltern-Initiativ-Kindertagesstätte,564,TÄKS e. V.,Sonstiger freier Träger,"Hohenfriedbergstr. 018, 10829, Berlin",52.4872202,13.364828
7,Tempelhof-Schöneberg,7111840,Kita Berliner Spatzen Verein zur Förderung der Mehrsprachigkeit,Hähnelstr. 015A,12159,85073406,27.0,Kindertagesstätte,1398,Verein zur Förderung der Mehrsprachigkeit e.V.,Sonstiger freier Träger,"Hähnelstr. 015A, 12159, Berlin",52.4756085,13.3396836
7,Tempelhof-Schöneberg,7111860,Kinderladen Atze und Co,Wilhelmshöher Str. 009,12161,852 03 55,15.0,Eltern-Initiativ-Kindertagesstätte,536,Kinderladen Atze und Co e.V.,EKT,"Wilhelmshöher Str. 009, 12161, Berlin",52.4725337,13.3241313
7,Tempelhof-Schöneberg,7111870,Kinderladen Elefanten,Ebersstr. 012A,10827,7811927,18.0,Kindertagesstätte,7329,Kinderladen Elefanten e.V.,Sonstiger freier Träger,"Ebersstr. 012A, 10827, Berlin",52.4843011,13.3579231
7,Tempelhof-Schöneberg,7111950,Bilinguales Montessori-Kinderhaus Friedenau,Handjerystr. 046,12161,2332640-0,100.0,Kindertagesstätte,8066,Montessori und Friends Education gGmbH,Sonstiger freier Träger,"Handjerystr. 046, 12161, Berlin",52.4696985,13.3314186
7,Tempelhof-Schöneberg,7111960,Kita Rubin,Handjerystr. 060,12161,87337793,35.0,Eltern-Initiativ-Kindertagesstätte,7849,Rubin e. V.,Sonstiger freier Träger,"Handjerystr. 060, 12161, Berlin",52.4696985,13.3314186
7,Tempelhof-Schöneberg,7111990,Kindergarten Purzelbaum,Eisenacher Str. 081,10823,86455037,60.0,Kindertagesstätte,7876,planned child gemeinnützige UG (haftungsbeschränkt),Sonstiger freier Träger,"Eisenacher Str. 081, 10823, Berlin",52.488264,13.3493444
7,Tempelhof-Schöneberg,7112000,Krippe Holsteinische Straße,Holsteinische Str. 030,12161,85 99 51 760,30.0,Kindertagesstätte,1249,Nachbarschaftsheim Schöneberg e.V.,Sonstiger freier Träger,"Holsteinische Str. 030, 12161, Berlin",52.4652591,13.3308895
7,Tempelhof-Schöneberg,7112010,Kita Little Wombat,Naumannstr. 006,10829,78955195,25.0,Kindertagesstätte,7869,kids in berlin kib gUG (haftungsbeschränkt),Sonstiger freier Träger,"Naumannstr. 006, 10829, Berlin",52.4786382,13.3634103
7,Tempelhof-Schöneberg,7112020,Kita Ebersstraße,Ebersstr. 068,10827,78 89 57 50,15.0,Kindertagesstätte,1249,Nachbarschaftsheim Schöneberg e.V.,Sonstiger freier Träger,"Ebersstr. 068, 10827, Berlin",52.4843011,13.3579231
7,Tempelhof-Schöneberg,7112080,Kindergarten der Johannes-Schule Berlin,Monumentenstr. 013A,10829,7009411-0,65.0,Kindertagesstätte,8159,Waldorf-Südwest gemeinnützige GmbH,Sonstiger freier Träger,"Monumentenstr. 013A, 10829, Berlin",52.4882728,13.3641077
7,Tempelhof-Schöneberg,7112100,Kinderladen Zauberhaus,Geisbergstr. 028,10777,64317219,36.0,Kindertagesstätte,8313,Kinderladen Zauberhaus UG (haftungsbeschränkt),Sonstiger freier Träger,"Geisbergstr. 028, 10777, Berlin",52.4969229,13.3448955
7,Tempelhof-Schöneberg,7112120,Kindertagesstätte Die Traumfänger,Sponholzstr. 026,12159,+493054819688,20.0,Kindertagesstätte,8661,Federlos gUG,Sonstiger freier Träger,"Sponholzstr. 026, 12159, Berlin",52.4702074,13.3402144
7,Tempelhof-Schöneberg,7112130,Kinderladen mima,Sieglindestr. 008,12159,88623734,15.0,Kindertagesstätte,8471,Kita mima GmbH,Sonstiger freier Träger,"Sieglindestr. 008, 12159, Berlin",52.4762046,13.3287521
7,Tempelhof-Schöneberg,7112140,Kita Die Kunstmäuse,Bamberger Str. 041,10779,0160,25.0,Kindertagesstätte,8746,World of FanMi gGmbH,Sonstiger freier Träger,"Bamberger Str. 041, 10779, Berlin",52.4947999,13.3371182
7,Tempelhof-Schöneberg,7112150,Kita El Mundo de los ninos,Goßlerstr. 008,12161,017632996165,70.0,Kindertagesstätte,8701,El mundo de los ninos gGmbH,Sonstiger freier Träger,"Goßlerstr. 008, 12161, Berlin",52.4705968,13.3268128
7,Tempelhof-Schöneberg,7112170,Naturdetektive Kita Cecilien,Ceciliengärten 040,12159,85751200,25.0,Kindertagesstätte,8747,Naturdetektive gUG (haftungsbeschränkt),Sonstiger freier Träger,"Ceciliengärten 040, 12159, Berlin",52.4751987,13.3417972
7,Tempelhof-Schöneberg,7112190,Kita am Gleis,Bautzener Str. 021,10829,40042021,33.0,Kindertagesstätte,8875,Mahalo gGmbH,Sonstiger freier Träger,"Bautzener Str. 021, 10829, Berlin",52.4892539,13.3706596
7,Tempelhof-Schöneberg,7112200,Kenntnisreich Kindertagesstätte No 31,Nollendorfstr. 031,10777,2360 5045,55.0,Kindertagesstätte,8259,Kenntnisreich Kindertagesstätten gGmbH,Sonstiger freier Träger,"Nollendorfstr. 031, 10777, Berlin",52.4980012,13.3530321
7,Tempelhof-Schöneberg,7112210,Schöneberger Zwerge,Mansteinstr. 013,10783,016096661596,25.0,Kindertagesstätte,8555,Hauptstadtzwerge gGmbH,Sonstiger freier Träger,"Mansteinstr. 013, 10783, Berlin",52.491656,13.366447
7,Tempelhof-Schöneberg,7112220,Kita Löwenzahn,Eisenacher Str. 044,10823,0160,20.0,Kindertagesstätte,8746,World of FanMi gGmbH,Sonstiger freier Träger,"Eisenacher Str. 044, 10823, Berlin",52.488264,13.3493444
7,Tempelhof-Schöneberg,7112230,Kinderladen Zauberhaus,Geisbergstr. 029,10777,31483285,18.0,Kindertagesstätte,8313,Kinderladen Zauberhaus UG (haftungsbeschränkt),Sonstiger freier Träger,"Geisbergstr. 029, 10777, Berlin",52.4969229,13.3448955
7,Tempelhof-Schöneberg,7112240,Kita Marienfelder Käfer,Marienfelder Allee 212,12279,75449565,90.0,Kindertagesstätte,8978,Krekup gUG,Sonstiger freier Träger,"Marienfelder Allee 212, 12279, Berlin",52.4080781,13.3576647
7,Tempelhof-Schöneberg,7112250,"Kita ""Kleine Wikinger""",Quartiersweg 009,10829,01201876,78.0,Kindertagesstätte,8478,Step Kids Kitas gemeinnützige GmbH,Sonstiger freier Träger,"Quartiersweg 009, 10829, Berlin",52.4771752,13.361948
7,Tempelhof-Schöneberg,7112270,Naturdetektive Kita Belziger,Belziger Str. 064,10823,78952256,20.0,Kindertagesstätte,8747,Naturdetektive gUG (haftungsbeschränkt),Sonstiger freier Träger,"Belziger Str. 064, 10823, Berlin",52.4874881,13.3546884
7,Tempelhof-Schöneberg,7112290,"Kita ""Knorke""",Lauterplatz 002,12159,76985285,120.0,Kindertagesstätte,8478,Step Kids Kitas gemeinnützige GmbH,Sonstiger freier Träger,"Lauterplatz 002, 12159, Berlin",52.4774154,13.3352186
